FinInstrmIdLeg1,FinInstrmIdLeg2,Spread Token Created by Us,Security Symbol Created by Us,Security Symbol Name Created by Us,FinInstrmNmLeg1,TckrSymb1,SrsId1,XpryDt1,Converted Expiry1 Date,Month Extrated from Date1,StrkPricLeg1,OptnTpLeg1,OffclCorpActnEvtId1,FinInstrmNmLeg2,TckrSymb2,SrsId2,XpryDt2,Converted Expiry2 Date,Month Extrated from Date2,StrkPricLeg2,OptnTpLeg2,NewBrdLotQty1,MinLot1,BidIntrvl1,NewBrdLotQty2,MinLot2,BidIntrvl2,Elgblty,DelFlg,OffclCorpActnEvtId2,RefPric,DayLwPricDiffRg,DayHghPricDiffRg,OpngLowPricDiffRg,OpngHghPricDiffRg,UndrlygInstrm,Rsvd,UndrlygFinInstrmId,PartnIdr,DcmlstnPric,UnqPdctIdr,SrsId,StrtgyId,NbOfLegsInStrtgy,Mltplr,FinInstrmId,AsstTp,TckrSymb,FinInstrmTp,XpryDt,FinInstrmNm,StrkPric,Rsvd01,Rsvd02,Rsvd03,Rsvd04,Rsvd05,Rsvd06,Rsvd07,Rsvd08,Rsvd09,Rsvd10
53246,64119,1411953246,ASTRAL-1,SP-ASTRAL-JUL-AUG,FUTSTK,ASTRAL,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,ASTRAL,XX,1440858600,8/28/2025,AUG,-1,XX,425,425,10,425,425,10,1,N,0,153980,-3850,3850,-3850,3850,,,,,,,,,,,,,,,,,,,,,,,,,,,
53247,64120,1412053247,ATGL-1,SP-ATGL-JUL-AUG,FUTSTK,ATGL,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,ATGL,XX,1440858600,8/28/2025,AUG,-1,XX,875,875,5,875,875,5,1,N,0,68625,-1715,1715,-1715,1715,,,,,,,,,,,,,,,,,,,,,,,,,,,
56819,53248,1324856819,AUBANK-1,SP-AUBANK-JUN-JUL,FUTSTK,AUBANK,XX,1435415400,6/26/2025,JUN,-1,XX,0,FUTSTK,AUBANK,XX,1438439400,7/31/2025,JUL,-1,XX,1000,1000,5,1000,1000,5,1,N,0,75285,-1885,1885,-1885,1885,,,,,,,,,,,,,,,,,,,,,,,,,,,
53248,64121,1412153248,AUBANK-2,SP-AUBANK-JUL-AUG,FUTSTK,AUBANK,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,AUBANK,XX,1440858600,8/28/2025,AUG,-1,XX,1000,1000,5,1000,1000,5,1,N,0,75135,-1880,1880,-1880,1880,,,,,,,,,,,,,,,,,,,,,,,,,,,
56822,53249,1324956822,AUROPHARMA-1,SP-AUROPHARMA-JUN-JUL,FUTSTK,AUROPHARMA,XX,1435415400,6/26/2025,JUN,-1,XX,0,FUTSTK,AUROPHARMA,XX,1438439400,7/31/2025,JUL,-1,XX,550,550,10,550,550,10,1,N,0,116720,-2920,2920,-2920,2920,,,,,,,,,,,,,,,,,,,,,,,,,,,
53249,64206,1420653249,AUROPHARMA-2,SP-AUROPHARMA-JUL-AUG,FUTSTK,AUROPHARMA,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,AUROPHARMA,XX,1440858600,8/28/2025,AUG,-1,XX,550,550,10,550,550,10,1,N,0,117470,-2940,2940,-2940,2940,,,,,,,,,,,,,,,,,,,,,,,,,,,
56823,53250,1325056823,AXISBANK-1,SP-AXISBANK-JUN-JUL,FUTSTK,AXISBANK,XX,1435415400,6/26/2025,JUN,-1,XX,0,FUTSTK,AXISBANK,XX,1438439400,7/31/2025,JUL,-1,XX,625,625,10,625,625,10,1,N,0,119760,-3000,3000,-3000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,
53250,64207,1420753250,AXISBANK-2,SP-AXISBANK-JUL-AUG,FUTSTK,AXISBANK,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,AXISBANK,XX,1440858600,8/28/2025,AUG,-1,XX,625,625,10,625,625,10,1,N,0,120420,-3010,3010,-3010,3010,,,,,,,,,,,,,,,,,,,,,,,,,,,
56826,53251,1325156826,BAJAJ-AUTO-1,SP-BAJAJ-AUTO-JUN-JUL,FUTSTK,BAJAJ-AUTO,XX,1435415400,6/26/2025,JUN,-1,XX,0,FUTSTK,BAJAJ-AUTO,XX,1438439400,7/31/2025,JUL,-1,XX,75,75,50,75,75,50,1,N,0,866800,-21700,21700,-21700,21700,,,,,,,,,,,,,,,,,,,,,,,,,,,
53251,64217,1421753251,BAJAJ-AUTO-2,SP-BAJAJ-AUTO-JUL-AUG,FUTSTK,BAJAJ-AUTO,XX,1438439400,7/31/2025,JUL,-1,XX,0,FUTSTK,BAJAJ-AUTO,XX,1440858600,8/28/2025,AUG,-1,XX,75,75,50,75,75,50,1,N,0,871000,-21800,21800,-21800,21800,,,,,,,,,,,,,,,,,,,,,,,,,,,
